Wyniki algorytmu genetycznego z optymalizacją parametrów
==================================================

Liczba miast: 80
Liczba pokoleń: 1500
Czas wykonania: 73.53 s

Parametry:
  population_size: 250
  elite_size: 2
  mutation_rate: 0.25
  generations: 1500
  tournament_size: 5
  crossover_type: PMX
  mutation_type: inversion
  selection_type: tournament

Najlepsza długość trasy: 765.95
Najlepsza wartość funkcji przystosowania: 0.0013055673
Średnia wartość funkcji przystosowania: 0.0012694482

Najlepsza trasa (sekwencja miast):
22, 32, 8, 23, 51, 13, 50, 64, 20, 76, 62, 11, 42, 66, 29, 74, 28, 49, 2, 7, 54, 72, 41, 39, 61, 18, 55, 30, 9, 65, 24, 10, 14, 38, 58, 6, 35, 15, 71, 48, 73, 19, 47, 31, 52, 75, 70, 77, 67, 44, 59, 46, 1, 40, 25, 17, 56, 26, 63, 60, 27, 57, 78, 37, 43, 4, 68, 12, 53, 0, 69, 79, 33, 16, 34, 5, 21, 3, 36, 45

Historia ewolucji (co 10 generacji):
Generacja,Najlepsza długość,Najlepsza funkcja przystosowania,Średnia funkcja przystosowania,Czas generacji (ms)
1090,765.95,0.0013055673,0.0012747352,51.21
1100,765.95,0.0013055673,0.0012671106,51.55
1110,765.95,0.0013055673,0.0012761956,51.04
1120,765.95,0.0013055673,0.0012751737,48.75
1130,765.95,0.0013055673,0.0012685458,48.50
1140,765.95,0.0013055673,0.0012721480,49.51
1150,765.95,0.0013055673,0.0012720980,49.41
1160,765.95,0.0013055673,0.0012722120,47.98
1170,765.95,0.0013055673,0.0012798107,48.64
1180,765.95,0.0013055673,0.0012767344,49.69
1190,765.95,0.0013055673,0.0012701537,48.38
1200,765.95,0.0013055673,0.0012726608,48.59
1210,765.95,0.0013055673,0.0012707409,51.35
1220,765.95,0.0013055673,0.0012759360,51.28
1230,765.95,0.0013055673,0.0012723689,51.81
1240,765.95,0.0013055673,0.0012711194,47.72
1250,765.95,0.0013055673,0.0012772392,48.78
1260,765.95,0.0013055673,0.0012609779,48.90
1270,765.95,0.0013055673,0.0012732084,48.95
1280,765.95,0.0013055673,0.0012707844,48.67
1290,765.95,0.0013055673,0.0012706871,49.40
1300,765.95,0.0013055673,0.0012718921,50.53
1310,765.95,0.0013055673,0.0012668185,48.99
1320,765.95,0.0013055673,0.0012699343,47.69
1330,765.95,0.0013055673,0.0012703636,47.90
1340,765.95,0.0013055673,0.0012699282,48.71
1350,765.95,0.0013055673,0.0012652622,48.08
1360,765.95,0.0013055673,0.0012779768,48.31
1370,765.95,0.0013055673,0.0012738360,48.17
1380,765.95,0.0013055673,0.0012729945,47.90
1390,765.95,0.0013055673,0.0012737423,47.62
1400,765.95,0.0013055673,0.0012665172,49.90
1410,765.95,0.0013055673,0.0012689847,48.25
1420,765.95,0.0013055673,0.0012729537,48.46
1430,765.95,0.0013055673,0.0012737480,47.50
1440,765.95,0.0013055673,0.0012660199,48.10
1450,765.95,0.0013055673,0.0012726224,50.40
1460,765.95,0.0013055673,0.0012737575,49.97
1470,765.95,0.0013055673,0.0012678256,48.00
1480,765.95,0.0013055673,0.0012779447,48.41
1490,765.95,0.0013055673,0.0012692672,47.53
1500,765.95,0.0013055673,0.0012718035,51.16
