best_distance,best_fitness,mean_fitness,time,std_distance,crossover_type,elite_size,mutation_rate,mutation_type,population_size,selection_type,tournament_size
1596.0758794975477,0.0006269404038394448,0.0006221796471713968,1.3072224855422974,40.50516681592137,OX,15,0.08,insert,50,tournament,3
2775.3758735410993,0.00036065718997431814,0.00028709547442557957,0.8412201404571533,85.91769283412623,OX,5,0.08,scramble,30,roulette,10
2546.001526753321,0.0003928746345426463,0.0002693456034175998,18.79965567588806,41.001857654038304,PMX,10,0.1,scramble,250,rank,2
2755.406141016184,0.00036446393480324646,0.0002620524816593675,4.476956129074097,179.16943333477252,OX,5,0.005,scramble,150,rank,10
1098.4235642712679,0.0009134007894760693,0.0009016503898420424,4.963281035423279,63.00481691626396,OX,10,0.03,inversion,200,rank,15
1782.369385564763,0.0005611372671089278,0.0005586199848636875,33.45783495903015,22.108732670148925,CX,10,0.08,insert,150,tournament,2
3359.839780562747,0.00029764058595756177,0.00023709955750291365,7.737989068031311,16.69147340088921,OX,10,0.15,swap,150,roulette,7
3178.049886864839,0.0003149310792125901,0.0002428826958911789,13.245628714561462,93.51949382188629,PMX,10,0.08,swap,150,rank,3
3293.629303846644,0.0003036837571886077,0.0002816268199823623,0.5156935453414917,49.0377747017551,OX,25,0.05,swap,30,roulette,10
2867.864737913141,0.00034869209451492003,0.0003481019257126632,8.024597406387329,3.807078659988292,CX,20,0.03,inversion,50,roulette,15
2112.7373462701617,0.000473406623965832,0.0004590444845937931,26.114465594291687,28.644591432648895,CX,15,0.08,insert,150,roulette,10
2026.1952637947577,0.0004939457590684681,0.0004638629172687323,39.793580651283264,58.36948946162761,CX,5,0.08,inversion,250,roulette,5
2205.572219413767,0.00045360544873812103,0.000385132153417518,2.23178493976593,47.271602792432304,PMX,20,0.15,scramble,50,tournament,7
1448.8523370571902,0.0006917236583824566,0.0006701059448705603,5.432821035385132,67.96624513175345,PMX,2,0.03,inversion,100,rank,3
2323.363270753307,0.0004307248975041045,0.0004307248975041045,10.503081917762756,62.768382000127986,CX,15,0.03,inversion,50,tournament,15
3338.285774161498,0.0002996063004023718,0.00023669329675849476,13.675493717193604,43.70746723382081,OX,10,0.15,swap,250,roulette,2
2514.7532295897236,0.00039791339318292953,0.00035405423584847055,5.976107597351074,64.28936898165125,CX,25,0.1,scramble,50,rank,2
1408.5293476624847,0.0007116669211484532,0.0007032271495892207,2.8858641386032104,68.97451964969889,PMX,2,0.15,insert,50,tournament,15
3360.4733843254703,0.000297606947187574,0.00023750718177873242,14.433365225791931,33.64083453088733,PMX,10,0.1,swap,150,roulette,10
1824.1878483039923,0.0005502174495474162,0.0005467400118190587,59.80902850627899,110.75608706273442,CX,2,0.05,insert,250,rank,10
810.4135242664412,0.0012341898212774019,0.001213150748947507,15.265686392784119,11.577318619497078,PMX,2,0.15,inversion,250,tournament,5
1922.5333476970418,0.0005205863782860845,0.0005147236805345869,7.958687424659729,55.85148786706202,CX,20,0.15,inversion,50,rank,3
2694.73465784414,0.0003724913207905823,0.0002605580325226045,8.144453763961792,165.04337480302252,OX,20,0.15,scramble,250,roulette,3
2665.9714706597756,0.0003751427024279846,0.00026718720706735935,2.7519330978393555,29.171108414945138,OX,2,0.01,insert,100,roulette,10
1448.8523370571902,0.0006917236583824566,0.0006701059448705603,5.481173634529114,67.96624513175345,PMX,2,0.03,inversion,100,rank,2
1948.6553145756973,0.0005135556345814325,0.0004833391334436173,1.5647025108337402,53.09380029054523,PMX,5,0.08,inversion,30,roulette,5
3329.065872799562,0.0003003955060605644,0.00023932177492210844,14.29928433895111,20.092296164169966,PMX,15,0.15,swap,150,roulette,7
1592.7771450699115,0.0006293129931452254,0.0006208194588562553,5.0886863470077515,77.20974564778794,PMX,10,0.005,inversion,100,rank,2
2476.5523716163902,0.00040388942905980965,0.000286829176527671,24.25528311729431,39.41215450950813,CX,20,0.005,scramble,200,roulette,5
953.2653218862712,0.0010490270538926468,0.001036734161405637,2.8275593519210815,1.0053199758879146,OX,20,0.1,inversion,100,tournament,7
2981.760409942607,0.00033545077111185736,0.0002702290809467931,7.8444859981536865,45.59014382853661,PMX,25,0.15,swap,100,tournament,10
2546.001526753321,0.0003928746345426463,0.0002693456034175998,18.790267825126648,41.001857654038304,PMX,10,0.05,scramble,250,rank,10
1189.9226423162604,0.0008405925204072408,0.0008394771985264592,4.880221605300903,18.434792697666467,OX,20,0.01,inversion,200,rank,7
3013.539879409451,0.0003319683999646292,0.0002765423496030886,1.8737765550613403,60.259650345183445,OX,20,0.08,swap,50,tournament,2
2348.654739294675,0.0004260297712066736,0.00026526545796084783,22.06321144104004,57.3613047715462,CX,5,0.08,scramble,200,roulette,10
2114.190703719548,0.0004744954843828626,0.0003532956037359018,1.8269315958023071,118.92017328859436,PMX,2,0.1,scramble,30,tournament,15
2911.4477778329237,0.0003437727667239173,0.00029161303715002993,5.474619030952454,86.15574900204592,CX,25,0.05,swap,50,roulette,3
2276.7808469022802,0.0004407338919628272,0.00037048111297140727,0.8952633142471313,133.58693041459514,OX,15,0.03,swap,30,tournament,3
1961.0616094533225,0.0005104860529142982,0.000500080194470188,4.816930413246155,64.84574822175819,PMX,20,0.005,insert,100,roulette,2
1867.533277330081,0.0005354815567416409,0.00036010477651711795,10.069291234016418,10.164895256378145,PMX,2,0.1,scramble,150,tournament,7
2115.301560179055,0.00047315973618925297,0.00034832649802122076,3.4419280290603638,62.56296426548238,OX,5,0.08,scramble,100,tournament,5
2847.6578037672816,0.0003511663132068708,0.0002411047356226856,25.442814111709595,3.4785996763284857,CX,2,0.005,scramble,250,roulette,10
